frame.time_epoch,tcp.analysis.ack_rtt
"1684648743.964813158",
"1684648743.974734243",
"1684648745.008909191",
"1684648745.084869350","0.075960159"
"1684648746.187002921",
"1684648746.187027397",
"1684648746.187035581",
"1684648746.187039686",
"1684648746.196842303",
"1684648746.196852979",
"1684648746.200270961",
"1684648746.226980777",
"1684648746.340098653","0.113117876"
"1684648746.366928811","0.026830158"
"1684648746.380023209",
"1684648746.380033604",
"1684648746.384370868","0.004347659"
"1684648746.647219122",
"1684648746.666869600","0.019650478"
"1684648746.666893305",
"1684648746.670305029","0.003411724"
"1684648746.675921341",
"1684648746.678884095",
"1684648746.679274660","0.003353319"
"1684648746.682535087","0.003650992"
"1684648746.689446545",
"1684648746.699172326",
"1684648746.726960490","0.037513945"
"1684648746.787051946","0.087879620"
"1684648746.790444235","0.063483745"
"1684648746.954442049",
"1684648746.954451096",
"1684648746.954451483",
"1684648746.954451863",
"1684648746.954452219",
"1684648746.954452575",
"1684648746.954455710",
"1684648746.954455966",
"1684648746.954456289",
"1684648746.954456604",
"1684648746.987128439","0.032686390"
"1684648746.987147244","0.032696148"
"1684648746.987151299","0.032699816"
"1684648746.987361484","0.032909621"
"1684648746.990772748",
"1684648746.990774044",
"1684648746.990776930",
"1684648746.990777451",
"1684648746.990780622",
"1684648746.990781085",
"1684648746.990781549",
"1684648746.990781917",
"1684648746.995944736","0.041492517"
"1684648746.995954681","0.041502106"
"1684648746.995960902","0.041505192"
"1684648746.996882106","0.042426140"
"1684648746.996892337","0.042436048"
"1684648746.997931617","0.043475013"
"1684648746.999406760",
"1684648746.999407928",
"1684648746.999408312",
"1684648746.999408657",
"1684648746.999408997",
"1684648747.002658643",
"1684648747.002659817",
"1684648747.002660244",
"1684648747.002660601",
"1684648747.002660974",
"1684648747.002661353",
"1684648747.002661695",
"1684648747.026971531","0.036197487"
"1684648747.026990995","0.036213544"
"1684648747.026998825","0.036217276"
"1684648747.027004180","0.027595868"
"1684648747.030449765",
"1684648747.030452234",
"1684648747.030453035",
"1684648747.030459071",
"1684648747.030459444",
"1684648747.030459810",
"1684648747.030460158",
"1684648747.030460487",
"1684648747.030461005",
"1684648747.030461318",
"1684648747.030461618",
"1684648747.030461878",
"1684648747.030462198",
"1684648747.030462515",
"1684648747.030526479",
"1684648747.035828011","0.033166316"
"1684648747.040253819",
"1684648747.040257461",
"1684648747.040257934",
"1684648747.040258303",
"1684648747.040258691",
"1684648747.046933486","0.016481252"
"1684648747.063789270","0.033327952"
"1684648747.063807352","0.023549891"
"1684648747.071966619","0.031708685"
"1684648747.072793498","0.032535195"
"1684648747.072802121","0.032543430"
"1684648747.072806742",
"1684648747.078636067","0.005829325"
"1684648747.186985833",
"1684648748.306993940",
"1684648749.187001834",
"1684648752.067052853",
"1684648753.107261507",
"1684648759.509231645",
"1684648761.429254548",
"1684648767.191156259",
"1684648767.201139222",
"1684648771.131201280",
"1684648771.141137431",
"1684648771.171121949",
"1684648771.174479490","0.003357541"
"1684648771.211081773","0.036602283"
"1684648771.220143281",
"1684648771.223509675","0.003366394"
"1684648771.491246517",
"1684648771.494683155",
"1684648771.497935732",
"1684648771.531136676","0.036453521"
"1684648771.531147641",
"1684648771.531153948",
"1684648771.548250270",
"1684648771.548264341",
"1684648771.548271093",
"1684648771.548277435",
"1684648771.551694512","0.020546871"
"1684648771.551697307","0.020543359"
"1684648771.551698692","0.003448422"
"1684648771.551699955","0.003435614"
"1684648771.551701094","0.003430001"
"1684648771.551702803","0.003425368"
"1684648771.554899982",
"1684648771.558156923",
"1684648771.591175121","0.039472318"
"1684648771.591201315","0.036301333"
"1684648771.600191338",
"1684648771.603630079","0.003438741"
"1684648771.627473567","0.036272252"
"1684648771.630739642",
"1684648771.630740831",
"1684648771.630744034",
"1684648771.630744353",
"1684648771.630744756",
"1684648771.631143412","0.072986489"
"1684648771.651274320","0.020534678"
"1684648771.651293508","0.020552677"
"1684648771.651302085","0.020558051"
"1684648771.651305870","0.020561517"
"1684648771.651309496","0.020564740"
"1684648771.651312697",
"1684648771.668345223",
"1684648771.668363051",
"1684648771.668369831",
"1684648771.671773282","0.003428059"
"1684648771.671776837","0.003407006"
"1684648771.940647058",
"1684648771.940649883",
"1684648771.940653260",
"1684648771.940653677",
"1684648771.940654083",
"1684648771.940657455",
"1684648771.940657801",
"1684648771.940658122",
"1684648771.940658502",
"1684648771.940658813",
"1684648771.991176527","0.050526644"
"1684648771.991192771","0.050533958"
"1684648771.994659390",
"1684648771.994660855",
"1684648771.994661260",
"1684648771.994665949",
"1684648771.994666322",
"1684648771.994666716",
"1684648771.994667222",
"1684648771.994667819",
"1684648771.994668101",
"1684648771.994668427",
"1684648771.994668751",
"1684648771.997843620",
"1684648772.031208840","0.036547985"
"1684648772.031219801","0.036553852"
"1684648772.031224612","0.036557390"
"1684648772.031228291","0.036560190"
"1684648772.031231562","0.036562811"
"1684648772.071238804","0.073395184"
"1684648772.074656232",
"1684648772.074658887",
"1684648772.074659373",
"1684648772.074667556",
"1684648772.074668016",
"1684648772.074668379",
"1684648772.074669042",
"1684648772.074669368",
"1684648772.074669711",
"1684648772.074670017",
"1684648772.074670385",
"1684648772.074670741",
"1684648772.074671111",
"1684648772.074671423",
"1684648772.074671720",
"1684648772.074672112",
"1684648772.074731461",
"1684648772.074731891",
"1684648772.111296919","0.036640687"
"1684648772.111318144","0.036659257"
"1684648772.111326187","0.036666814"
"1684648772.111331601","0.036664045"
"1684648772.111337021","0.036669005"
"1684648772.111346069","0.036677690"
"1684648772.111351771","0.036682729"
"1684648772.111357856","0.036688488"
"1684648772.111364740","0.036695029"
"1684648772.120220887","0.045550870"
"1684648772.120238532","0.045568147"
"1684648772.120244658","0.045573917"
"1684648772.120248706","0.045577595"
"1684648772.120252499","0.045581076"
"1684648772.120256273","0.045584553"
"1684648772.120260409","0.045528518"
"1684648772.123659531",
"1684648772.123662122",
"1684648772.123669866",
"1684648772.123670291",
"1684648772.123670624",
"1684648772.123670978",
"1684648772.123671317",
"1684648772.123671572",
"1684648772.123671880",
"1684648772.123672192",
"1684648772.123672517",
"1684648772.123672818",
"1684648772.123673518",
"1684648772.123674239",
"1684648772.123674561",
"1684648772.123674821",
"1684648772.123735192",
"1684648772.123735590",
"1684648772.126892098",
"1684648772.126893604",
"1684648772.126894402",
"1684648772.126894857",
"1684648772.126895222",
"1684648772.126895526",
"1684648772.126895900",
"1684648772.126896257",
"1684648772.126896627",
"1684648772.126982205",
"1684648772.151139078","0.027479547"
"1684648772.151159873","0.027487993"
"1684648772.151166735","0.027494543"
"1684648772.151171673","0.027499156"
"1684648772.151178657","0.027505839"
"1684648772.151183309","0.027509791"
"1684648772.151188568","0.027514329"
