frame.time_epoch,tcp.analysis.ack_rtt
"1684649483.012752801","0.024205048"
"1684649483.012768031","0.024194837"
"1684649483.012771528","0.024197578"
"1684649483.012774906","0.024200367"
"1684649483.016146765",
"1684649483.016148169",
"1684649483.016159639",
"1684649483.016159978",
"1684649483.016160307",
"1684649483.016160613",
"1684649483.016160932",
"1684649483.016161216",
"1684649483.016161527",
"1684649483.016161837",
"1684649483.016166831",
"1684649483.019384705",
"1684649483.019386069",
"1684649483.019386558",
"1684649483.052865368","0.036705390"
"1684649483.052889594","0.033503036"
"1684649483.056236736",
"1684649483.056238773",
"1684649483.056239310",
"1684649483.056239663",
"1684649483.056247584",
"1684649483.056247931",
"1684649483.056248251",
"1684649483.056248555",
"1684649483.056248865",
"1684649483.056249181",
"1684649483.056249492",
"1684649483.056249808",
"1684649483.056250099",
"1684649483.056250733",
"1684649483.056251070",
"1684649483.072867172","0.016627509"
"1684649483.076171809",
"1684649483.076173196",
"1684649483.076173620",
"1684649483.076173981",
"1684649483.092784106","0.036536175"
"1684649483.092794286","0.036544794"
"1684649483.092798342","0.036547609"
"1684649483.092802074","0.016630265"
"1684649483.092805948","0.016631967"
"1684649483.096073303",
"1684649483.096074799",
"1684649483.096075225",
"1684649483.096075605",
"1684649483.096075943",
"1684649483.132812066","0.036736461"
"1684649483.172823621","0.076747678"
"1684649483.241822990",
"1684649483.241837797",
"1684649483.241844581",
"1684649483.245165918","0.003328121"
"1684649483.248387325","0.006542744"
"1684649483.248388434",
"1684649483.248390637",
"1684649483.248391010",
"1684649483.248394666",
"1684649483.248394984",
"1684649483.248395265",
"1684649483.248395572",
"1684649483.248395894",
"1684649483.248396216",
"1684649483.248425459",
"1684649483.248425965",
"1684649483.248426329",
"1684649483.248426670",
"1684649483.248427038",
"1684649483.272917648","0.024529214"
"1684649483.272929876","0.024538866"
"1684649483.272934205","0.024539221"
"1684649483.272937791","0.024542219"
"1684649483.272941559","0.024545343"
"1684649483.272945235","0.024519270"
"1684649483.272957683","0.024531013"
"1684649483.272961369","0.024534331"
"1684649483.276255216",
"1684649483.276256438",
"1684649483.276260136",
"1684649483.276260549",
"1684649483.276260949",
"1684649483.276261249",
"1684649483.276261636",
"1684649483.279487525",
"1684649483.279489106",
"1684649483.279489539",
"1684649483.279489913",
"1684649483.279492957",
"1684649483.279493412",
"1684649483.279493760",
"1684649483.279494095",
"1684649483.279501517",
"1684649483.279501810",
"1684649483.281797898",
"1684649483.286005379","0.004207481"
"1684649483.289936318","0.013675769"
"1684649483.293254522",
"1684649483.293255671",
"1684649483.293256122",
"1684649483.293256520",
"1684649483.312786851","0.036525215"
"1684649483.312799237","0.033309698"
"1684649483.312803122","0.033310165"
"1684649483.312806725","0.033312965"
"1684649483.312810510","0.033308700"
"1684649483.312814163","0.019557643"
"1684649483.316122942",
"1684649483.316124102",
"1684649483.316124524",
"1684649483.316129761",
"1684649483.316130104",
"1684649483.316130467",
"1684649483.316130807",
"1684649483.316131119",
"1684649483.316131450",
"1684649483.316131749",
"1684649483.316132057",
"1684649483.319364182",
"1684649483.319365362",
"1684649483.319369012",
"1684649483.319369417",
"1684649483.319369760",
"1684649483.319370158",
"1684649483.319370518",
"1684649483.332863880","0.016740938"
