frame.time_epoch,tcp.analysis.ack_rtt
"1684649171.552925532",
"1684649171.552976122",
"1684649171.556282081",
"1684649171.559598071","0.006672539"
"1684649171.559601742","0.006625620"
"1684649171.562832445","0.006550364"
"1684649171.583657015",
"1684649171.583658725",
"1684649171.583661044",
"1684649171.583661616",
"1684649171.583664528",
"1684649171.583664909",
"1684649171.583665280",
"1684649171.583667236",
"1684649171.583667550",
"1684649171.583720570",
"1684649171.924705348",
"1684649172.436669974",
"1684649173.563016849",
"1684649173.587967432","2.004310417"
"1684649173.591490551",
"1684649173.591492147",
"1684649173.627912796",
"1684649173.627924752",
"1684649173.631347927",
"1684649173.631352313",
"1684649173.631352726",
"1684649173.647930046","2.064271321"
"1684649173.647971004","2.064309960"
"1684649173.647974372","2.064312756"
"1684649173.668724420",
"1684649173.668725876",
"1684649173.668726343",
"1684649173.668728720",
"1684649173.668729090",
"1684649173.668730448",
"1684649173.707944973","2.124280445"
"1684649173.707959900","2.124294991"
"1684649173.707963076","2.124297796"
"1684649173.707970547","2.124302997"
"1684649173.707974255","0.116482108"
"1684649173.711430147",
"1684649173.711431566",
"1684649173.711432021",
"1684649173.711432423",
"1684649173.711432795",
"1684649173.711433184",
"1684649173.711433793",
"1684649173.714615649",
"1684649173.747933562","0.036501541"
"1684649173.747947745","0.036513952"
"1684649173.751364606",
"1684649173.751365921",
"1684649173.751366352",
"1684649173.751369557",
"1684649173.751369947",
"1684649173.751370307",
"1684649173.751370648",
"1684649173.767942827","0.016576475"
"1684649173.787999550","0.036628902"
"1684649173.791422514",
"1684649173.791423799",
"1684649173.791424254",
"1684649173.791424654",
"1684649173.791431664",
"1684649173.791432111",
"1684649173.791432453",
"1684649173.794618096",
"1684649173.827867005","0.036442751"
"1684649173.827877599","0.033259503"
"1684649173.831295099",
"1684649173.831296275",
"1684649173.831296692",
"1684649173.831300579",
"1684649173.831301037",
"1684649173.831301411",
"1684649173.831301739",
"1684649173.831302070",
"1684649173.834488998",
"1684649173.867884285","0.036587593"
"1684649173.867896772","0.033407774"
"1684649173.870208484",
"1684649173.873542596",
"1684649173.873543875",
"1684649173.873547922",
"1684649173.873548327",
"1684649173.873548699",
"1684649173.873549047",
"1684649173.873549376",
"1684649173.873549630",
"1684649173.907859735","0.034310105"
"1684649173.911316214",
"1684649173.911317576",
"1684649173.911317966",
"1684649173.911318339",
"1684649173.911318685",
"1684649173.911319314",
"1684649173.911319786",
"1684649173.911320367",
"1684649173.911320736",
"1684649173.947931338","0.036613372"
"1684649173.947944481","0.036623745"
"1684649173.951363140",
"1684649173.951364361",
"1684649173.951364769",
"1684649173.951367493",
"1684649173.951367842",
"1684649173.951371057",
"1684649173.951371399",
"1684649173.951371717",
"1684649173.951372005",
"1684649173.988011848","0.036647487"
"1684649173.988033979","0.036661974"
"1684649173.991522932",
"1684649173.994758739",
"1684649173.994761067",
"1684649173.994770105",
"1684649173.994770484",
"1684649173.994770919",
"1684649173.994771258",
"1684649173.994771565",
"1684649173.994772241",
"1684649173.994772548",
"1684649174.027956898","0.033185979"
"1684649174.027978185","0.033205944"
"1684649174.031399220",
"1684649174.031401483",
"1684649174.031401991",
"1684649174.031402427",
"1684649174.031402824",
"1684649174.031403199",
"1684649174.031453090",
"1684649174.031453490",
"1684649174.031454144",
"1684649174.068011149","0.036611929"
"1684649174.068030903","0.036576759"
"1684649174.071443379",
"1684649174.071445614",
"1684649174.071450325",
"1684649174.071450812",
"1684649174.071451191",
"1684649174.071451480",
"1684649174.071451773",
"1684649174.071452078",
"1684649174.071452368",
"1684649174.074630027",
"1684649174.107962032","0.036511707"
"1684649174.107973105","0.036520737"
"1684649174.111425952",
"1684649174.111427457",
"1684649174.111427896",
"1684649174.111428355",
"1684649174.111434191",
"1684649174.111446429",
"1684649174.114682924",
"1684649174.114684389",
"1684649174.114684800",
"1684649174.114685143",
"1684649174.128049307","0.016620952"
"1684649174.131459071",
"1684649174.131460259",
"1684649174.131460627",
"1684649174.131461050",
"1684649174.134651775",
"1684649174.147939136","0.033253993"
"1684649174.147949112","0.016488485"
"1684649174.151367894",
"1684649174.151369232",
"1684649174.151369608",
"1684649174.151369969",
"1684649174.151370320",
"1684649174.151372216",
"1684649174.151374512",
"1684649174.151374869",
"1684649174.154559216",
"1684649174.167831452","0.033179677"
"1684649174.167840057","0.016470088"
"1684649174.171240123",
"1684649174.171241580",
"1684649174.171241987",
"1684649174.171245068",
"1684649174.171245498",
"1684649174.171245861",
"1684649174.171246151",
"1684649174.187865953","0.033306737"
"1684649174.187878708","0.016633640"
"1684649174.191301246",
"1684649174.191302611",
"1684649174.191303010",
"1684649174.191303351",
"1684649174.191303705",
"1684649174.191307947",
"1684649174.191308412",
"1684649174.191308739",
"1684649174.191309060",
"1684649174.207880542","0.036634391"
"1684649174.207892856","0.016589846"
"1684649174.211332204",
"1684649174.211333457",
"1684649174.211333820",
"1684649174.211337072",
"1684649174.211337492",
"1684649174.211337846",
"1684649174.211338220",
"1684649174.227895481","0.036586421"
"1684649174.227907548","0.016570476"
"1684649174.231342945",
"1684649174.231344456",
"1684649174.231344997",
"1684649174.231345597",
"1684649174.231346136",
"1684649174.231346806",
"1684649174.234569806",
"1684649174.234571144",
"1684649174.234571576",
"1684649174.234571966",
"1684649174.247907942","0.036569722"
"1684649174.247917932","0.016572935"
"1684649174.251335098",
"1684649174.251337139",
"1684649174.251337521",
"1684649174.251343418",
"1684649174.251344070",
"1684649174.251344543",
"1684649174.267883102","0.033311526"
"1684649174.267893232","0.016549814"
"1684649174.271253282",
"1684649174.271254937",
"1684649174.271255305",
"1684649174.271255709",
"1684649174.271256076",
"1684649174.271256410",
"1684649174.271256765",
"1684649174.271258583",
"1684649174.271300081",
"1684649174.271300983",
"1684649174.271301345",
"1684649174.274495542",
"1684649174.287855592","0.036511049"
"1684649174.287867196","0.016611487"
"1684649174.291267626",
"1684649174.291268709",
"1684649174.291273816",
"1684649174.291274196",
"1684649174.291274530",
"1684649174.291274886",
"1684649174.307911715","0.033416173"
"1684649174.307920853","0.016647037"
"1684649174.311354562",
"1684649174.311355956",
"1684649174.311356525",
"1684649174.311356999",
"1684649174.311357440",
"1684649174.311357930",
"1684649174.311358350",
"1684649174.311358749",
"1684649174.311422329",
"1684649174.311423143",
"1684649174.311423516",
"1684649174.314559057",
"1684649174.327909469","0.036634939"
"1684649174.327925847","0.016568848"
"1684649174.331332642",
"1684649174.331333707",
"1684649174.331337554",
"1684649174.331337919",
"1684649174.331338245",
"1684649174.331338570",
"1684649174.331338863",
"1684649174.347989426","0.036565910"
"1684649174.348002163","0.016664244"
"1684649174.351393544",
"1684649174.351394677",
"1684649174.351395044",
"1684649174.351395418",
"1684649174.351396119",
"1684649174.351396458",
"1684649174.351396809",
"1684649174.351399590",
"1684649174.351400024",
"1684649174.351412248",
"1684649174.354631220",
"1684649174.354632155",
"1684649174.367883850","0.036544987"
"1684649174.367895184","0.016499766"
"1684649174.371335828",
"1684649174.371336975",
"1684649174.371337784",
"1684649174.371338130",
"1684649174.371345126",
"1684649174.371345750",
"1684649174.371346254",
"1684649174.371346841",
"1684649174.387920537","0.033288382"
"1684649174.387931968","0.016593838"
"1684649174.391324313",
